0,0
,
0.9,0
,
2.05,0
,
3.05,0
,
3.95,6
,
4.95,22
,
5.95,41
,
7.15,56
,
8.05,78
,
9.05,92
,
10.05,102
,
11.05,104
,
11.95,103
,
12.95,101
,
13.95,100
,
15.15,99
,
16.05,100
,
17.05,100
,
18.05,100
,
19.05,100
,
19.95,100
,
20.95,100
,
21.95,100
,
23.05,100
,
24.05,100
,
25.05,99
,
26.05,99
,
26.95,99
,
27.95,100
,
28.95,99
,
30.15,99
,
31.05,100
,
32.05,99
,
33.05,100
,
34.05,99
,
34.95,99
,
35.95,100
,
37.15,99
,
38.15,99
,
39.05,99
,
40.05,99
,
41.05,100
,
42.45,100
,
43.15,99
,
43.95,99
,
44.95,99
,
46.15,100
,
47.05,99
,
48.05,100
,
49.05,100
,
50.05,100
,
50.95,99
,
51.95,99
,
52.95,100
,
54.15,100
,
55.05,99
,
56.05,100
,
57.05,100
,
58.05,99
,
58.95,100
,
59.95,99
,
61.15,100
,
62.05,99
,
63.05,100
,
64.45,100
,
65.25,100
,
66.15,100
,
67.15,100
,
68.15,99
,
69.15,100
,
70.05,100
,
71.05,99
,
72.05,99
,
73.25,99
,
74.15,99
,
75.15,100
,
76.15,99
,
77.15,99
,
78.05,99
,
79.05,100
,
80.05,99
,
81.25,99
,
82.15,99
,
83.15,100
,
84.15,99
,
85.15,99
,
86.05,99
,
87.05,99
,
88.05,100
,
89.25,100
,
90.35,99
,
91.15,99
,
92.15,100
,
93.15,99
,
94.05,100
,
95.05,99
,
96.25,99
,
97.15,100
,
98.15,99
,
99.35,100
,
100.55,99
,
101.45,99
,
102.45,100
,
103.25,99
,
104.25,99
,
105.15,100
,
106.15,99
,
107.15,100
,
108.35,100
,
109.25,100
,
110.25,100
,
111.25,99
,
112.25,100
,
113.15,99
,
114.15,100
,
115.15,100
,
116.35,100
,
117.25,99
,
118.25,100
,
119.25,100
,
120.25,100
,
121.15,100
,
122.15,99
,
123.35,100
,
124.35,99
,
125.25,100
,
126.25,100
,
127.25,100
,
128.25,99
,
129.15,100
,
130.15,100
,
131.55,100
,
132.25,99
,
133.25,99
,
134.25,100
,
135.25,100
,
136.15,99
,
137.15,100
,
138.15,99
,
139.35,100
,
140.25,99
,
141.25,100
,
142.25,100
,
143.25,99
,
144.15,99
,
145.15,100
,
146.15,100
,
147.35,99
,
148.25,100
,
149.25,100
,
150.25,100
,
151.45,99
,
152.35,99
,
153.35,99
,
154.55,99
,
155.35,100
,
156.25,100
,
157.25,99
,
158.25,99
,
159.45,99
,
160.35,99
,
161.35,100
,
162.35,100
,
163.35,100
,
164.25,100
,
165.25,99
,
166.47,100
,
167.35,100
,
168.35,99
,
169.35,100
,
170.35,99
,
171.45,99
,
172.25,99
,
173.25,100
,
174.45,99
,
175.35,99
,
176.35,100
,
177.35,100
,
178.35,100
,
179.45,99
,
180.25,99
,
181.25,99
,
182.45,100
,
183.35,99
,
184.35,100
,
185.35,99
,
186.35,100
,
187.45,99
,
188.25,99
,
189.25,100
,
190.35,99
,
191.35,100
,
192.35,99
,
193.55,100
,
194.35,100
,
195.25,100
,
196.25,100
,
197.45,100
,
198.45,99
,
199.35,99
,
200.35,100
,
201.35,100
,
202.35,99
,
203.25,99
,
204.25,99
,
205.45,100
,
206.55,99
,
207.35,99
,
208.35,100
,
209.35,100
,
210.25,100
,
211.25,99
,
212.25,100
,
213.45,99
,
214.35,99
,
215.35,99
,
216.35,99
,
217.35,99
,
218.25,99
,
219.25,100
,
220.25,100
,
221.45,99
,
222.35,99
,
223.35,99
,
224.35,100
,
225.35,100
,
226.25,99
,
227.25,99
,
228.25,99
,
229.45,99
,
230.35,99
,
231.35,99
,
232.36,99
,
233.35,100
,
234.25,100
,
235.25,99
,
236.45,100
,
237.45,99
,
238.35,100
,
239.35,99
,
240.35,100
,
241.35,99
,
242.25,99
,
243.25,99
,
244.45,99
,
245.35,99
,
246.35,100
,
247.35,100
,
248.35,99
,
249.25,99
,
250.25,99
,
251.25,99
,
252.45,99
,
253.35,100
,
254.35,99
,
255.55,100
,
256.35,99
,
257.25,99
,
258.25,100
,
259.25,100
,
260.45,99
,
261.35,100
,
262.35,100
,
263.35,99
,
264.35,100
,
265.45,99
,
266.25,100
,
267.25,99
,
268.45,100
,
269.35,99
,
270.35,100
,
271.35,99
,
272.35,100
,
273.25,100
,
